"no","sun","ins","kal"
,"biasa","biasa",
,"biasana","biasanya",
,"bibilas","buah pencuci mulut",
,"bibilintik","usaha sedikit dengan tekun",
,"bier atau biur",,
,"bieu","baru saja",
,"bigbrig","lari kecil (jogging)",
,"bigeug","tidak bicara karena malu",
,"biheung","bisa jadi, mungkin",
,"bijil","keluar",
,"bikang","betina, perempuan",
,"bikeun","beri, menyerahkan",
,"bilang","hitung",
,"bilih","apabila",
,"biluk","memihak",
,"binangkit","cakap, terampil",
,"bincurang","tulang kering (kaki)",
,"binekas","pandai, kratif",
,"bingah","gembira",
,"bingkeng","bengkok",
,"bingung","bingung",
,"bintih","menyampuk",
,"bintit","mata bengkak(nangis)",
,"birat","lari berhamburan",
,"bireuk","tidak tahu",
,"birigidig","bergidik",
,"birit","pantat",
,"biruyung","disertai",
,"bisi","agar, kalau, jika",
,"bisnis","bisnis",
,"bitis","betis",
,"bitu","meletus",
,"biwir","bibir",
,"blak","membuka, terlentang",
,"bleg","mirip sekali",
,"blug","jatuh, tersungkur",
,"bobo","sudah lapuk, tidur(anak)",
,"bobok","bobol",
,"boboko","bakul",
,"boboleh","terus terang tidak sanggup",
,"bobor","buka puasa, jebol",
,"boboran","lebaran",
,"boborot","berlepotan (peluh, darah)",
,"bobot","beratnya, hamil",
,"bobotoh","pendukung, suporter",
,"bocek","cacat sedikit",
,"bodas","putih",
,"bodo","bodoh, awam",
,"boeh","kain kafan",
,"boga","punya",
,"bogana","miliknya",
,"bogoh","cinta",
,"bohak","luka besar",
,"bojo","istri",
,"boker","terbuka, ketahuan",
,"bolay","batal, tidak jadi",
,"boleker","membuka, membocorkan rahasia",
,"boleklak atau biluklak",,
,"boleksek","lecet, terkelukur",
,"bolenang","gundul, tak berambut",
,"bolon","belum mengerti baik&buruk",
,"bolonyon","copot, lepas",
,"bolostrong","apa adanya",
,"bolotot","melotot, besar matanya",
,"bondoroyot","anak,istri,cucu,keluarga",
,"bongkok","bungkuk",
,"bongkor","sia-sia",
,"bongoh","lengah",
,"bongroy","tergiur, senang, tertarik",
,"bongsor","bogur, lekas besar",
,"bool","anus",
,"borangan","penakut",
,"boro","memburu",
,"borohol","banyak bicara dan tertawa-tawa",
,"boseh","mengayuh, mendayung",
,"bosongot","roman muka, bunga tembakau",
,"boyot","jalan lamban tak bisa cepat",
,"brak","makan bersama",
,"bral","pergi",
,"bras","terus, tiba",
,"bray","membuka/ datangnya cahaya",
,"breh","menemukan, melihat",
,"brel atau bret",,
,"breng","berangkat bersama",
,"bres","masukkan barang pada tempatnya",
,"bring","pergi bersama",
,"bro atau bru",,
,"brol","melahirkan",
,"brug","menutup pintu keras-keras",
,"brul","berbondong-bondong",
,"brus","mandi, memasukkan barang",
,"buah","buah-buahan, mangga",
,"bubar","bubar, selesai,usai",
,"bubuara","pergi dari kampung halaman",
,"bubuhan","kata sambung,",
,"bubuk","remuk",
,"buburak","mengusir",
,"bubus","sembunyi di tempat sepi",
,"bubuy","memasukkan ubi, ke dalam abu panas biar matang",
,"bucit","urutan terakhir",
,"budah","buih, busa (sabun)",
,"budak","anak-anak",
,"budal","keluar bersama dari  tempat berkumpul",
,"bugang","bangkai",
,"bugbrug","bertumpuk tapi tidak tersusun rapih",
,"buhul","tersedak, keselek",
,"buhun","tua (kuno)",
,"bujal","pusar",
,"bujang","pemuda, pembantu",
,"bujur","pantat",
,"bukbak","menebangi pohon di hutan",
,"bul","mengepul",
,"bulan","bulan",
,"bulao","biru langit, biru",
,"bulen","bungkus",
,"buleneng atau leneng ","bulat dan licin ",
,"buleud","bulat",
,"buligir","telanjang",
,"bulistir","gundul, tidak ada pepohonan",
,"bulubus","masuk diam-diam/perlahan",
,"bumi","rumah",
,"bumina","rumahnya",
,"buncir,beuteung buncir",,
,"bunder","bundar, bulat",
,"bunderan","bundaran",
,"bungah","gembira",
,"bungangang","lega",
,"bunghak","perut kembung",
,"bungin","delta",
