"no","sun","ins","kal"
,"helar","pawai, arak-arakan",
,"helas","merasa iba",
,"heman","sayang serta suka memberi",
,"hemar-hemir","merasa takut/risih",
,"hemeng","heran, bingung",
,"hempak","semua duduk di bawa (lantai)",
,"henen","berbaring tidak bergerak",
,"heneng","diam bungkam",
,"henggoy","makan lama karena nikmat",
,"henteu, teu",,
,"heot","siul",
,"herak","senang mengganggu",
,"herang","jernih, bercahaya",
,"hese","sukar, sulit",
,"heuay","menguap",
,"heubeul","lama",
,"heueuh","ya, benar",
,"heueuh","iya",
,"heujeun","mengejan",
,"heula","dahulu, cepat, depan",
,"heuleut","selang antara dua waktu",
,"heumheum","kulum, diemut",
,"heunteu","tidak",
,"heuras","keras, kaku",
,"heureut","sempit",
,"heureutna","sempitnya",
,"heureuy","lelucon, iseng",
,"hiap","menyambut dengan ramah",
,"hibar","baik-baik saja",
,"hibarna","berkibarnya",
,"hiber","terbang",
,"hibut","panik, ribut",
,"hideng","tahu apa yang harus dikerjakan tanpa disuruh",
,"hidep","panggilan untuk anak sudah besar",
,"hideung","hitam",
,"hiding","tidak dianggap rintangan",
,"hiem","ringkik",
,"hieng","desing",
,"hieum","teduh sekali",
,"hihid","kipas",
,"hiji","satu",
,"hiji-hiji","satu-satu",
,"hiji-hijina","satu-satunya",
,"hilang","meninggal dunia",
,"hilap","lupa",
,"hileud","ulat",
,"hili","tukar",
,"hiliwir","sepoi-sepoi",
,"hinas","sewajarnya, seadanya",
,"hing","menangis",
,"hinis","sembilu",
,"hipu","empuk",
,"hiras","menyuruh bekerja pada orang lain",
,"hirup","hidup",
,"hitut","kentut",
,"hiuk","angin yang bertiup",
,"hoe","rotan",
,"hoghag","berbantah",
,"hojah","keinginan, alasan",
,"honcewang","khawatir, risih",
,"honeng","selalu teringat (kekasih)",
,"hontal","jangkau, capai , sampai",
,"hookeun","bengong",
,"hoream","segan, malas",
,"horeng","menunjukkan hal yang tak disangka",
,"hormat","hormat",
,"hos","meninggal dunia",
,"hoyong","ingin",
,"hoyong","ingin",
,"hubungan","hubungan",
,"hudang","bangun, bangkit",
,"hui","ubi jalar",
,"huis","uban",
,"hujan","hujan",
,"hukum","hukum",
,"hukuman","hukuman",
,"hulag","melarang",
,"huleng","termenung",
,"hulu","kepala",
,"humandeuar","mengeluh",
,"humapur","seperti berkapur",
,"humaseum","saatnya berasa asam",
,"huni","kecil",
,"hunted","tidak mau maju",
,"huntu","gigi",
,"hunyur","sarang rinyuh",
,"hurang","udang",
,"hurip","hidup",
,"huru","bakar",
,"hurup","huruf",
,"husus","khusus",
,"hutang","hutang",
,"huut","sekam, dedak",
,"huyungkung","tidak bergairah, murung",
,"iam","mandi",
,"iang","pergi, berangkat",
,"iasa","bisa",
,"ibadah","ibadah",
,"iber","kabar, pemberitahuan",
,"ibu","ibu",
,"ibun","embun",
,"ibur","ribut, gempar",
,"ical","jual, hilang",
,"icikibung","memukul air dikolam",
,"icip","mencicipi",
,"icuk","merayu untuk berbuat tidak baik",
,"idek","diinjak",
,"ider","jalan mengelilingi rumah",
,"idin","ijin",
,"ieu","ini",
,"ieu","ini",
,"ieuh","aduh, hey",
,"iga","tulang rusuk",
,"igel","tari",
,"ihwal","ikhwal",
,"ijematau ijen",,
,"ijid","benci, tidak suka",
,"ijigimbrang ","berjingkak ria ",
,"ijir","taksir, perkiraan",
,"iker","hemat",
,"ilahar","lumrah, biasa",
,"ilaing","kamu",
,"ilangna","hilangnya",
,"ilat","lidah",
,"ileng","mencari barang",
,"iles","menghilang",
,"ilik","melihat dengan teliti",
,"ilmiah","ilmiah",
,"ilo","membaca dalam hati",
,"ilu","ikut",
,"ilubiung","turut serta",
,"imah","rumah",
,"imbang","seimbang",
,"imbit","pinggul",
,"imen","tersenyum malu",
,"imeut","terpetik, terbaca, terambil",
,"impen","impi",
,"impi","mimpi",
,"implik-implik",,
,"impung","sering kedatangan tamu",
,"imut","tersenyum",
,"incah","pergi, merantau",
,"incer","mengincar. membidik",
,"incu","cucu",
,"incu ti gigir","cucunya saudara",
,"indah","mencret bayi",
,"indit","pergi",
,"indonesa","indonesia",
,"indonesia","indonesia",
,"indung","ibu",
,"inget","ingat",
,"inggeung","berguncang",
,"inggis","khawatir, risih",
,"inghak","menangis tersedu-sedu",
,"ingkab","ketiak",
,"ingkeun","biarkan",
,"ingkig","berjalan cepat",
,"ingkud","jalan terpincang-pincang",
,"ingon-ingon","binatang ternak",
,"ingsrek","tarik lendir hidung/flu",
,"ingu","pelihara dengan baik",
,"injeum","pinjam",
,"inohong","tokoh, orang penting",
,"inspektur","inspektur",
,"internasional","internasional",
,"intip","mengintip",
,"inum","minum",
,"ipis","tipis",
,"iraha","kapan",
,"iren","iri, dengki",
,"iring","turut, ikut",
,"iris","tiris, bocor(atap)",
,"irit","hemat",
,"irung","hidung",
,"irut","menarik hati, imut",
,"isang","cebok",
,"ised","bergeser sedikit",
,"isin","malu",
,"ising","berak",
,"istimewa","istimewa",
,"istori","cerita kesedihan disakiti hati",
,"istren","melantik",
,"istri","wanita/istri",
,"isuk","besok",
,"isukan","besok",
,"isuk-isuk","pagi-pagi",
,"isukna","paginya",
,"iteuk","tongkat",
,"itikurih","cari rejeki sedikit-sedikit",
,"itu","itu",
,"ituh","heran",
,"itung","hitung",
,"iuh","teduh",
,"iwal","kecuali",
,"iwat","membawa lari wanita yang dicintai",
,"jaba","selain, luar",
,"jabatan","jabatan",
,"jabel","merampas",
,"jabi","selain",
,"jadah","anak haram",
,"jadi","tumbuh. berhasil",
,"jadual","jadual",
,"jadug","jagoan",
,"jaga","suat saat nanti",
,"jagang","dua pekerjaan waktu sama",
,"jagat","jagat",
,"jagjag","sehat, kuat",
,"jagjag waringkas","sehat wal afiat",
,"jago","jantan",
,"jagrag","sudah disediakan",
,"jahat","jahat, merusak, boros",
,"jaheut","luka",
,"jail","jahil",
,"jait","mengambil jemuran/dari dalam air",
,"jajahan","jajahan",
,"jajap","mengantar",
,"jajar","berbaris",
,"jajaten","kepintaran",
,"jalan-jalan","jalan-jalan",
,"jalantah","jelantah",
,"jalantir","tinggi ramping",
,"jalaran","karena, sebab",
,"jalinger","tangkas, gesit, liar",
,"jalingkak","tomboy",
,"jalir","ingkar",
,"jalma","orang",
,"jalu","jantan",
,"jaluna","yang jantan",
,"jamak","lumrah, biasa",
,"jaman","zaman",
,"jambak","jambak",
,"jamban","kamar mandi",
,"jamburawul","jelek cara kerjanya,  boros",
,"jamedud","merengut, muka masam",
,"jaminan","jaminan",
,"jamomom","bengkak pipinya",
,"jamuga","selamat",
,"janari","waktu antara tengah malam dan subuh",
,"jandela","jendela",
,"janggawareng","kakeknya kakeknya kakek",
,"janggelek","menjelma",
,"janggilek","membalikkan badan sambil membuang muka",
,"jangjang","sayap",
,"jangjawing","sangat kkurus (sakit)",
,"jangji","janji, ajal, asal",
,"jangji","janji",
,"jangjing","tinggi semampai",
,"jangkep","pas, genap",
,"jangkorang","tubuh tinggi dan tidak seimbang dengan besarnya",
,"jangkung","tinggi",
,"janglar","tidak murung",
,"janteng","berdiri dengan tidak bergerak",
,"jantowor","bibir agak bengkak",
,"japapang","berbaring terlentang",
,"japati","merpati",
,"jarah","liar, ziarah",
,"jaram","kuman",
,"jarambah","senang main jauh (anak)",
,"jarempe","pada diam",
,"jarian","tempat pembuangan sampah",
,"jarigjeug","berjalan tertatih-tatih",
,"jariji","jari manis",
,"jarijipen","jijik",
,"jarumat","menisik",
,"jarumpluk","berkumpul",
,"jauhna","jauhnya",
,"jaul","mencuat",
,"jawara","pendekar",
,"jebag","lebar muka",
,"jeber","lebar seperti dibeberkan",
,"jebi","cibir",
,"jeblag","jelas terlihat karena besar",
,"jebleh","bibir bawah tebal dan agak terkulai",
,"jeblog","becek",
,"jeblos","tertipu, dapat dibodohi",
,"jeblug","tak mau bayar hutang",
,"jebrag","kaki lebih besar dari ukuran",
,"jebred","suara keras (petir)",
,"jebris","marah, mengucapkan kata-kata sambil bermuka masam",
,"jebrod","memukul dengan benda berat",
,"jebrog","besar (manusia)",
,"jebrud","putus tali",
,"jeceh","bangga diri",
,"jeceng","kaku dan tegak ke atas",
,"jedag atau jedak",,
,"jedig","lebat serta tebal (alis)",
,"jeding","bibir atas lebih menonjol",
,"jedog","diam, tidak bergerak",
,"jedur","gelegar",
,"jeer","mata merah dan berair",
,"jeg","mirip, seperti",
,"jega","berdiri tegak dan kaki agak renggang",
,"jegang","berdiri/terlentang dengan kaki dibuka lebar",
,"jeger","kaku",
,"jegud","kaya",
,"jehjer","tergeletak tidak bergerak",
,"jejebir","telinga",
,"jejeg","cukup hitungannya",
,"jejel","diisi sampai padat",
,"jejer","tema, subjek, mimpin",
,"jejer","tema, subjek, mimpin",
,"jejereged","takut kotor, merasa jijik",
,"jelema","manusia",
,"jelug","tinggi besar",
,"jembar","luas, banyak, tidak picik",
,"jempe","diam, tidak ada suara",
,"jempling","sepi, sunyi",
,"jemprak","duduk bersila",
,"jeneng","jadi pegawai negeri",
,"jenengan","nama",
,"jenggleng","terpisah serta bagus(rumah)",
,"jenghok","merasa amat terkejut",
,"jengjreng","baris, deret",
,"jengkang","jatuh terlentang",
,"jengke","jingkat, jinjit",
,"jengker","kaku",
,"jenis","jenis",
,"jentre","jelas, terang",
,"jentul","merenung, termenung",
,"jeput","suntuk, semalaman",
,"jerebebeng","melebarkan sayap",
,"jerit","menjerit",
,"jero","dalam",
,"jete","bergaya untuk menarik perhatian",
,"jeujeuh","mengurus, membantu",
,"jeujeur","joran, alat mancing ikan",
,"jeung","ditambah",
,"jeungkal","jengkal tangan",
,"jewet","merobek-robek",
,"jidar","mistar, penggaris",
,"jieun","membuat, bikin",
,"jig","menyuruh pergi",
,"jiga","mirip, hampir sama",
,"jigana","sepertinya",
,"jinek","pasti, tetap",
,"jiwana","jiwanya",
,"jiwir","jewer",
,"jogo","hadir, datang",
,"jogol","saling dorong",
,"jojo","banyak yang mendatangi (warung, hotel)",
,"jojodog","dingklik",
,"jojontor","tanjung",
,"jolok","susah dijangkau (jauh)",
,"jomantara","langit",
,"jomblo atau jomlo",,
,"jongjon","seang tak ada yang mengganggu",
,"jongjongan","beberapa saat",
,"jongkeng","jatuh telungkup",
,"jorag","mendatangi musuh",
,"jorang","ngeres, ngomong porno",
,"jrrd","dsb.",
,"jrut","turun",
,"jual","jual",
,"jubleg","lesung, tempat menumbuk",
,"jugjug","akan mendatangi, menuju",
,"jujul","lebih panjang/tinggi",
,"jujut","meneliti/menyusuri perkara",
,"jukut","rumput",
,"jukutan","berumput",
,"julaeu","agak tengadah karena menerima kabar buruk",
,"julat-jalit","berbelit (akar)",
,"julig","dengki",
,"jumaah","jumat",
,"jumegur","bergelegar-gelegar",
,"jumpalik","jatuh terguling",
,"jumpluk","mengelompok",
,"jung","menyuruh pergi/berdiri",
,"jungjunan","kekasih",
,"jungjung","mengangkat, menjunjung",
,"jungkat","terangkat salah satu sisinya",
,"jungkel","roboh, terjungkal",
,"jungkiring","tampak besar wujudnya",
,"jungkrang","jurang, lurah, ngarai",
,"junun","bersungguh-sungguh dalam bekerja",
,"jurig","hantu",
,"juringkang","berpindah tempat/menyingkir",
,"juru","pojok, sudut, tukang",
,"jurung","menyuruh",
,"jurusan","jurusan",
,"juwet","pusing",
,"ka","ke",
,"ka hareup","ke depan",
,"ka sorenakeun","menuju sore hari",
,"kaabotan","keberatan",
,"kaadilan","keadilan",
,"kaalaman","dialami",
,"kaalamanana","dialaminya",
,"kaaos","terbaca",
,"kaasup","termasuk",
,"kaayaan","keadaan",
,"kabangsaan","kebangsaan",
,"kabaya","kebaya",
,"kabebasan","kebebasan",
,"kabebasanana","kebebasannya",
,"kabeh","semua",
,"kabeneran","kebetulan",
,"kabeureuyan","ketelan tulang ikan di tenggorokan",
,"kabina-bina","keterlaluan",
,"kabiri","mengebiri",
,"kabiruyungan","terlaksana terwujud",
,"kabita","tertarik",
,"kabitur","terbuka rahasia",
,"kaboler","tertinggal oleh yang lain",
,"kabual","kembali modal",
,"kabudayaan","kebudayaan",
,"kabur","lari cepat, kabur",
,"kaca","cermin, halaman",
,"kacacang","pergi tidak pulang-pulang",
,"kaca-kaca","gapura,  gerbang",
,"kacaletot","tanpa sadar mengatakan yang dirahasiakan",
,"kacape","rasa lelah",
,"kacar","pelayan",
,"kacatet","tercatat",
,"kacaturkeun","diberitakan",
,"kacek","beda",
,"kaceluk","terkenal",
,"kaceuceub","rasa benci",
,"kaci","boleh",
,"kacida","sangat",
,"kacingcalang","telur busuk",
,"kadang","saudara, famili, keluarga",
,"kadatangan","kedatangan",
,"kadaulatan","kedaulatan",
,"kade","awas",
,"kadedemes","sayang barang",
,"kadek","membacok",
,"kadenge","terdengar",
,"kadu","durian",
,"kadudukan","kedudukan",
,"kaduhung","menyesal",
,"kadungsang-dungsang","terlantar di negeri orang",
,"kael","digaet dengan kaki",
,"kagagas","merasa sedih ingat yang lalu",
,"kagambarkeun","tergambarkan",
,"kaget","terkejut",
,"kagiatan","kegiatan",
,"kagok","canggung, tidak bebas",
,"kagungan","punya",
,"kahanjelu","kesedihan",
,"kahayangna","keinginannya",
,"kahiji","pertama",
,"kahirupan","kehidupan",
,"kahirupanana","kehidupannya",
,"kahot","tua, kuno, antik",
,"kai","kayu",
,"kajadian","kejadian",
,"kajeun","biar saja",
,"kajudi","bisa dimaklumi",
,"kakait siwur","bapaknya kakeknya kakeknya kakek",
,"kakala","cari akal agar orang lain celaka",
,"kakara","baru saja, barusan",
,"kakaren","makanan sisa lebaran, kenduri",
,"kakat","membongkar",
,"kakawasaan","kekuasaan",
,"kakayaan","kekayaan",
,"kakejeman","kekejaman",
,"kakeueum","terendam",
,"kakeupeul","tergenggam",
,"kakoncara","terkenal",
,"kaku","canggung",
,"kakuatan","kekuatan",
,"kalacat","naik",
,"kalah","melainkan",
,"kalahiran","kelahiran",
,"kalahka","malah",
,"kalakay","daun kering",
,"kalang","lingkaran, golongan",
,"kalangkang","bayang-bayang",
,"kalangsu","lupa diri",
,"kalan-kalan","sewaktu-waktu",
,"kalapa","kelapa",
,"kalawan","serta, dengan",
,"kalayang","melayang",
,"kaleked","malas bila melakukan pekerjaan",
,"kalemoh","diciumi",
,"kalepatan","kesalahan",
,"kaler","utara",
,"kaleresan","kebetulan",
,"kali","menggali",
,"kalibet","terlibat",
,"kalices","pelita yang mau padam",
,"kalieus","membuang muka",
,"kalimah","kalimat",
,"kaliru","keliru",
,"kalis","lunas, cukup",
,"kaluarna","keluarnya",
,"kaluman","kesal",
,"kalungguhan","jabatan",
,"kamaheran","kemahiran",
,"kamajuan","kemajuan",
,"kamalir","selokan",
,"kamampuan","kemampuan",
,"kamampuhanana","kemampuannya",
,"kamanusaan","kemanusiaan",
,"kamarasan","kebahagiaan lahir batin",
,"kamari","kemarin",
,"kamasarakatan","kemasyarakatan",
,"kamekaran","kemekaran",
,"kamerdikaan","kemerdekaan",
,"kamonesan","kepandaian yang lucu, bagus",
,"kampiun","juara lomba",
,"kampuh","selimut",
,"kamtib","kamtib",
,"kamungkinan","kemungkinan",
,"kana","ke",
,"kanagaraan","kenegaraan",
,"kanca","kawan",
,"kanceuh","kambuh",
,"kandaga","peti kecil",
,"kandeg","tertahan",
,"kandel","tebal. lebar",
,"kandidat","calon, bakal",
,"kandungan","kandungan",
,"kang","singkatan dari kakang",
,"kangge","untuk",
,"kanggo","untuk, buat",
,"kangkang","mengangkang",
,"kantenan","tentu",
,"kanteng-nganteng","merentang, teringat selalu",
,"kantos","pernah",
,"kantun","sisa, tinggal",
,"kanyahoan","ketahuan",
,"kanyataan","kenyataan",
,"kaop","tidak kuat",
,"kapaksa","terpaksa",
,"kapalang","tanggung",
,"kapambeng","kepalang",
,"kapentinganana","kepentingannya",
,"kapercayaan","kepercayaan",
,"kapercayaanana","kepercayaannya",
,"kapeung","kadang-kadang",
,"kapidangdung","kebingungan, maju tak sanggup",
,"kapidara","pingsan",
,"kapok","jera",
,"kaprah","lumrah, biasa",
,"kapribadian","kepribadian",
,"kapuk","kapok",
,"kaput","menjahit",
,"kaputusan","keputusan",
,"karaharjaan","kesejahteraan",
,"karakawihan","bernyanyi-nyanyi",
,"karaman","penymun",
,"karancang","kain tipis karena lama (tua)",
,"karandang","merangkak",
,"karandapan","menempuh, mangalami",
,"karang","tahi lalat",
,"karasaeun","terasa",
,"karasanan","ngurus kebutuhan sandang pangan",
,"karatak","cari barang dan membuka barang lainnya",
,"karayap","merayap",
,"karehol","tidak rata (gigi)",
,"karek","baru saja",
,"karem","karam, tenggelam",
,"karembong","selendang",
,"karenyeng","jengkel, dongkol",
,"karep","keinginan, niat",
,"kareseban","datang bulan, haid",
,"kareueut","manis sekali (makanan)",
,"kari","tinggal, sisa",
,"karijut","kusut",
,"karinget","keringat",
,"karooh","ingin barang tak seberapa",
,"karugrag","kambuh",
,"karuhun","leluhur",
,"karunya","kasihan",
,"karunyaeun","merasa kasihan",
,"karya","karya",
,"kasab","mata penjaharian",
,"kasadaran","kesadaran",
,"kasajagatan","kesejagatan",
,"kasaksen","disaksikan",
,"kasalahan","kesalahan",
,"kasalamatenana","keselamatannya",
,"kasandung","tersesat",
,"kasar","tidak halus",
,"kasawat","penyakit",
,"kaseer","air mata",
,"kasehatan","kesehatan",
,"kasejahteraan","kesejahteraan",
,"kasempetan","kesempatan",
,"kasenian","kesenian",
,"kasep","ganteng",
,"kasep","tampan, cakep",
,"kasibukan","kesibukan",
,"kasieun","rasa takut",
,"kasilih","digantikan oleh",
,"kasorang","teralami",
,"kasulitan","kesulitan",
,"kasumba","merah muda",
,"kasusilaan","kesusilaan",
,"katalanjuran","terlalu berlebihan",
,"katalimbeng","bingung",
,"katara","kelihatan, ketahuan",
,"katartiban","ketertiban",
,"kateuhak","disekaliguskan menimbulkan penyakit",
,"katingal","terlihat",
,"katingali","terlihat",
,"katingtriman","ketentraman",
,"katohyan","terbuka rahasianya/liciknya",
,"katuhu","kanan",
,"katumbiri","pelangi",
,"katuralengan","pusing tersengat matahari",
,"katut","dan, termasuk",
,"kauntungan","keuntungan",
,"kaur","tidak  tenang karena ada yang mengganggu",
,"kaut","mencakar",
,"kawajiban","kewajiban",
,"kawajibanana","kewajibannya",
,"kawak","lama tapi bagus",
,"kawalon","tiri",
,"kawaranan","jangan berdasarkan kabar saja",
,"kawas","seperti",
,"kawasan","kawasan",
,"kaway","baju",
,"kawentar","terkenal",
,"kaweur","tidak bisa tenang kerja",
,"kawihna","lagunya",
,"kawijakan","kebijakan",
,"kawilang","terbilang",
,"kawon","kalah",
,"kayakinan","keyakinan",
,"kayangan","tempat para dewa",
,"kayapak","terbang melayang rendah",
,"kayap-keyep","sikap lemah lembut",
,"kayungyun","lucu, menarik hati",
,"keak","suara ayam",
,"kebak","mandi",
,"kebat","terus, kain kebaya",
,"kebek","penuh",
,"kebel","lama",
,"kebet","lembar",
,"kebi","tembem",
,"kebluk","senang tidur",
,"kebon","kebun",
,"kebul","debu, asap",
,"kebut","ngebut",
,"kecap","kata",
,"kecap-kecap","kata-kata",
,"kecer","obat tetes mata",
,"kecer","obat tetes mata",
,"kecet","tidak bersuara, diam",
,"kecewis","bicara terus",
,"kecing","penakut",
,"kecit","tuyul",
,"kecrek","hujan setiap hari",
,"kedah","harus, mesti",
,"kedah","harus, mesti",
,"kedahna","seharusnya",
,"kedal","ucapan",
,"kedap","sebentar",
,"kede","kidal",
,"kedeng","berbaring",
,"kedengena","terdengarnya",
,"kedeplik","tebal tak seimbang",
,"kedepruk","suara",
,"keder","bingung",
,"kedewek","mengambil",
,"kedewet","keserimpet kain",
,"kedewil","tebal",
,"kedik","sedikit",
,"keduk","mengeduk",
,"kedul","malas",
,"kehkeh","batuk",
,"kek","memegang",
,"keked","kaku jari-jari tangan",
,"kekel","kekal, abadi",
,"kekemben","selendang",
,"kekentong","pemimpin perang",
,"kekenyos","wajah, muka",
,"kekep","rapat sekali",
,"kekepehan","menggerakkan tangan mau menerima pemberian",
,"keker","kekar",
,"keker","kekar",
,"kekerehet","serba kekurangan",
,"kelab","melayang, berkibar",
,"kelamin","kelamin",
,"kelar","teringat pada kenangan",
,"kelat","menggantung sangkar di tempat tinggi",
,"kelay","ngiler",
,"kelebet","tenggelam",
,"kelebet","tenggelam",
,"kelek","ketiak",
,"kelekeb","udara panas",
,"kelem","terendam banjir",
,"kelemeng","remang-remang, membayang",
,"kelemes","membuka mata, malu",
,"kelemet","pergi/datang diam-diam",
,"keleper","terbang",
,"kelepus","merokok",
,"kelet","isyarat mata",
,"keletek","bermain sendiri",
,"keletis","muncul kabar yang dirahasiakan",
,"keleweng","lempar jauh-jauh",
,"keleyeng","cari kebutuhan",
,"kelompok","kelompok",
,"kelun","mengeluarkan asap",
,"kemba","pemalu",
,"kembang","bunga",
,"kembeng","genang (airmata)",
,"kembu","tembem (pipi)",
,"kembung","ngembang, membusung",
,"kemit","menjaga/ menemani orang sakit malam hari",
,"kemong","cekung (pipi)",
,"kemot","jilat",
,"kempel","kumpul",
,"kemper","lumpuh tangan",
,"kempes","kempes",
,"kempis","tempat ikan dari bambu",
,"kempit","ngepit",
,"kempleng","kempis (perut)",
,"kempot","lesung pipit",
,"kempreng","tangan kaku",
,"kemu","tidak mau mengatakan",
,"kenal","kenal",
,"kenca","kiri",
,"kencar","keluar kandang",
,"kenceng","kencang, cepat",
,"kences","kosong(kacang tanah)",
,"kencis","berjalan cepat",
,"kencling","pergi",
,"kenclong","mengandung cahaya (air)",
,"kendang","gendang",
,"kendat","selalu",
,"kendel","tegar, PD(percaya diri)",
,"kendor","lambat, kendur",
,"keneh","masih, menunjukkan belum berubah",
,"kenging","kena, buatan, tertangkap",
,"kengken","nyuruh ahlinya dan diupah",
,"kengkong","bengkok ke dalam (tangan, kaki)/X,O",
,"kentel","kental",
,"kenteng","genteng",
,"kenteng","genteng",
,"kentob","berlekuk, penyok",
,"kenyang","tarik",
,"kenyed","menyentak tali (kail, kekang kuda)",
,"kenyot","menghisap",
,"keok","kalah",
,"keom","tersenyum",
,"keplek","terkulai",
,"keplok","bergoyang (untuk air dama wadah)",
,"kepluk","jatuh (barang kecil)",
,"kepoh","kaki berbentuk X",
,"kepot","menggerakkan ekor",
,"kepray","terang benderang",
,"keprik","memberi perintah agar cepat maju",
,"keprok","tepuk tangan",
,"keprul","tepung, abu yang ditaburkan",
,"kepruy","hujan rintik",
,"keput","ditutupi sekelilingnya",
,"kerah-kerih","memasak seadanya",
,"kerebet","berjalan di semak belukar",
,"kerecek","hujan rintik-rintik dan lama",
,"kered","menahan, membatasi",
,"kerejep","berkedip karena kelilipan",
,"kerejet","gerak sedikit",
,"kerek","mendengkur, ngorok",
,"kerekeb","mengerkah",
,"kerelek","melepaskan nyawa",
,"kerelek","melepaskan nyawa",
,"kerelep","tenggelam",
,"kerem","mengurung",
,"kereng","keras/belum licin",
,"kerep","tidak jarang, kerap",
,"kerepek","tak mau diam/ ribut (binatang dalam kandang)",
,"keresa","mau, ingin",
,"keresek","bunyi daun kering/kantong plastik",
,"kereteg","suara/rasa hati yang muncul",
,"kerewek","menangkap, memegang",
,"kerewes","mencakar",
,"kerid","bawa orang banyak (seisi rumah, kampung)",
,"kerod","keriput",
,"kerok","salah hitung(tidak sengaja)",
,"kerot","menggesek gigi ketika tidur",
,"kerubut","keroyok",
,"keruk","keruk,",
,"kerung","mengerutkan dahi",
,"kesang","keringat",
,"kesed","sepet",
,"kesek","mengilas-gilas barang dari kertas",
,"kesel","kesal, jengkel",
,"keser","geser, cerai",
,"kesit","gesit",
,"ketak","ucap/tingkah bermutu untuk membela",
,"ketap","menjilat bibir sendiri karena tidak kenyang",
,"keteg","detak jantung",
,"keteng","beli barang dengan cara eceran",
,"ketig","memukul dengan pinggir tangan",
,"ketir","getir, gentar",
,"ketot","susah diisapnya",
,"ketrok","beradu, bertengkar",
,"keudeu","tak luput, terus saja",
,"keudeung","sebentar, tidak lama",
,"keueum","rendam",
,"keueung","takut, ngeri",
,"keuheul","jengkel, kesal, dongkol",
,"keukeuh","tak bisa dilarang, ngotot",
,"keukeup","memeluk sambil berbaring",
,"keukeureuweut","membujuk, mendesak",
,"keun","biar",
,"keuna","kena",
,"keuneung","tumit",
,"keungkang","merasa kikuk/takut salah",
,"keupat","lengang",
,"keupeul","kepal",
,"keur","sedang",
,"keureut","iris, nyunat",
,"keureuyeuh","berjalan perlahan karena tenaga sudah kurang",
,"keusik","pasir",
,"keusrak","kasap, kasar permukaannya",
,"keuweuk","memegang erat-erat",
,"keuyeup","ketam (binatang)",
,"kewes","pantas sedap dipandang mata",
,"kewung","cekung",
,"key","tertawa",
,"keyeng","bulat hati, betul-betul mau",
,"kia","berbeda pendapat",
,"kiceup","kedip, mengejap",
,"kiciprit","berjalan ketika sedang hujan",
,"kiclik.",,
,"kidul","selatan",
,"kier","berjalan kesana kemari ada yang dicari",
,"kieu","seperti ini, begini",
,"kieuh","disuruh pergi",
,"kiih","kencing",
,"kikindeuwan","wanita cemceman untuk dijadikan istri",
,"kikiping","roda",
,"kikisik","pantai berpasir",
,"kilat","kilat",
,"kilitik","berjalan bembuntuti orang lain",
,"kilung","menutupi kesalahan orang lain",
,"kimpel","membeku",
,"kincid","jalan cepat dengan langkah pendek-pendek",
,"kingkilaban","kilat di malam hari",
,"kinten","kira",
,"kintil","membuntuti, mengekor",
,"kintun","kirim",
,"kiplik","mengepakkan sayap",
,"kira","kira, sangka",
,"kirab","mengebutkan",
,"kirang","kurang",
,"kireum","tidak mau memandang orang karena malu",
,"kirik","anak anjing",
,"kirim","mengirim",
,"kiruh","keruh",
,"kitu","begitu",
,"kituh","ceritakan, kabarkan",
,"kiwa","kiri",
,"kiwari","sekarang",
,"kobet","mencungkil dengan ujung jari",
,"kobok","memasukkan tangan ke dalam wadah berisi air",
,"kocap","ceritanya, alkisah",
,"koceak","menjerit",
,"kocek","mengaduk",
,"kocepat","suara gerakan ikan yang gesit",
,"koclak","koclak",
,"koclok","mengocok",
,"kocok","ngocok, mengaduk",
,"kocomberan","comberan, perlimbahan",
,"kocopok","suara ikan besar dalam air",
,"kocor","mengalir",
,"kocrot","dikeluarkan dari dalam botol (kecap, saus)",
,"kodek","congkel/mengeluarkan barang kecil dengan kuku/ujun",
,"kodok","memasukkan tangan ke dalam saku/lubang",
,"kodomang","menjangkau sesuatu yang jauh",
,"koet","cakar",
,"kohkoh","batuk-batuk",
,"kohkol","kentongan",
,"kohok","lubang karena rusak",
,"kojay","berenang",
,"kojor","mati",
,"kojot","terkait pada tali",
,"kokod","tangan",
,"kokoh","makan sayur dengan tangan",
,"kokola","mengolah",
,"kokop","penahan mata cincin",
,"kokoro","melarat",
,"kokos","menggigit dengan seluruh gigi depan",
,"koleang","melayang ketika akan jatuh",
,"kolebat","kelihatan sekilas",
,"kolecer","baling-baling",
,"kolegrak","kering kerontang (sungai, sumur)",
,"kolenyay","cahaya terlihat sekejap",
,"kolesed","turun pelan-pelan",
,"kolesed","turun pelan-pelan",
,"kolomoh","mengulum",
,"kolopok","kesulitan uang",
,"kolot","tua, orangtua, asli, kuno",
,"kolotrak","suara membuka palang pintu",
,"koloyong","berjalan terhuyung-huyung",
,"kolu","tega, berani",
,"komara","wibawa",
,"komarana","wibawanya",
,"komgkolak","rongga tempat biji mata",
,"komitmen","komitmen",
,"komo","apalagi, pasti, tentu",
,"kompod","sikap orang yang penakut",
,"koncar","sesukanya diberi kebebasan",
,"koneas","pucat",
,"koneng","kuning",
,"koneng","kunyit",
,"kongkol","sekongkol",
,"kongkorong","kalung",
,"kongkorongok","suara ayam jago berkokok",
,"kongkow","bercakap-cakap",
,"kongkoyang","dikalungkang pada leher",
,"koprek","rajin, nakal segala dipegang",
,"koprot","berkeringat banyak",
